Country,DARIA-MARCOS pref,DARIA-MARCOS rank
Belgium,0.45740149068706,14
Bulgaria,0.3502379220475248,24
Czechia,0.4673162784953843,11
Denmark,0.5190136046527354,7
Germany,0.5207262621802173,6
Estonia,0.5714226926352525,3
Ireland,0.53696706094729,4
Greece,0.3338791629481959,26
Spain,0.39224257713091987,22
France,0.39473187541017474,21
Croatia,0.4611802927083619,13
Italy,0.40792793513887743,20
Cyprus,0.4084061021832315,19
Latvia,0.4326698651377758,16
Lithuania,0.44884164532443105,15
Luxembourg,0.4815185264819538,10
Hungary,0.482637432509874,9
Malta,0.3762310863763014,23
Netherlands,0.464682420453638,12
Austria,0.5220471995146114,5
Poland,0.4250958770715796,18
Portugal,0.33778839624673884,25
Romania,0.2940081017301189,27
Slovenia,0.426168581329326,17
Slovakia,0.4982311904629954,8
Finland,0.6860440923307342,1
Sweden,0.596179482172586,2
